Chlboo,Classize,class_size,scoremath,scorereading
20,14,,24.387,20.888
5,22,,16.88,.a
150,21,,15.382,15.914
100,,18,48.901,62.022
30,16,,25.998,37.997
30,,18,41.354,54.24
200,,28,53.821,68.083
100,,20,56.173,76.431
15,,20,35.687,
20,,20,42.199,56.224
200,18,,30.121,33.13
12,19,,18.998,31.802
200,,,27.362,52.754
30,15,,,
100,,18,46.271,60.224
150,26,,29.552,28.404
12,20,,18.108,.a
50,,23,40.977,35.242
40,20,,30.121,35.008
75,,30,46.508,47.517
25,,19,48.796,68.147
50,,18,49.068,71.439
20,,,41.634,51.758
200,25,,35.911,48.573
4,20,,26.046,19.218
200,13,,22.092,26.805
,,26,33.207,30.69
100,,23,41.594,54.328
.e,,,34.379,37.325
200,12,,45.372,48.276
4,15,,19.095,19.886
100,20,,18.256,23.762
200,,16,44.959,63.138
75,20,,26.982,31.543
100,,25,45.008,56.078
50,,17,39.544,52.288
16,16,,.a,.a
6,,19,51.131,46.426
50,,21,46.991,56.507
,27,,33.834,30.529
,20,,14.543,16.239
100,,18,34.796,48.019
5,22,,15.704,14.166
5,19,,24.79,33.159
36,,21,40.083,42.163
30,,25,48.793,71.998
200,27,,34.034,35.179
65,,16,39.142,52.626
65,27,,34.982,35.424
15,,,29.715,42.208
100,22,,19.306,23.095
,,18,40.657,48.476
50,,,40.057,36.383
100,16,,38.347,36.394
4,17,,27.129,37.933
20,21,,24.282,27.41
15,,13,44.912,65.491
40,,20,56.338,71.662
30,,,24.143,26.274
100,,21,51.189,51.246
50,22,,32.606,33.931
700,,16,58.464,82.648
200,18,,33.752,34.313
25,19,,28.619,28.547
75,,24,53.304,78.854
100,,28,47.32,79.692
,23,,21.272,25.9
100,,18,52.34,59.048
,,23,49.754,61.934
100,18,,41.637,38.305
,22,,19.651,19.883
250,,16,53.233,70.486
75,,13,48.391,70.008
15,20,,16.804,.a
100,,26,42.73,64.304
400,,19,54.092,64.2
200,26,,18.943,22.085
100,17,,22.039,21.485
50,,12,29.811,38.255
30,,29,39.84,38.042
60,,21,52.787,58.979
45,,19,39.273,49.825
200,,23,55.766,63.925
100,38,,27.816,38.771
20,19,,14.471,17.694
50,16,,31.667,35.048
150,,23,52.596,65.084
40,,18,40.06,47.585
10,19,,27.141,24.454
200,,21,41.775,44.162
100,,24,28.077,47.353
100,33,,14.267,29.981
200,,17,45.433,56.461
20,10,,15.511,22.04
200,,19,55.063,77.895
50,,15,25.094,37.76
15,,18,42.728,51.296
,19,,10.844,13.733
60,12,,13.232,14.811
,,,.e,12.302
20,,22,53.023,77.597
30,,22,58.155,49.016
50,20,,24.369,27.528
100,30,,23.166,21.403
200,18,,31.058,32.168
50,,19,34.993,49.278
30,30,,24.818,.a
88,,25,42.379,70.304
100,22,,40.039,36.387
20,21,,17.246,21.151
30,25,,,
200,,14,23.146,52.064
60,27,,13.99,15.783
40,23,,33.686,37.895
20,25,,19.807,20.911
200,,26,51.414,50.361
60,17,,18.885,23.088
50,22,,27.95,31.428
100,23,,,
7,20,,14.814,17.432
400,,,56.756,50.06
40,17,,26.102,32.27
30,,14,46.245,54.561
40,18,,34.601,34.239
100,,21,52.757,84.16
60,,24,37.888,60.979
300,,18,48.667,48.986
50,,29,56.756,56.795
100,,20,43.952,70.435
200,21,,25.077,33.345
10,18,,25.391,33.16
,18,,,
200,24,,,
100,,,,
35,,35,22.607,41.655
600,,30,32.42,48.216
50,,21,24.184,27.013
,,,43.551,42.668
150,23,,,
30,14,,36.049,31.662
25,15,,26.255,36.418
3,21,,13.799,21.516
15,,24,44.945,47.735
75,19,,25.51,36.784
40,,23,49.808,73.58
30,,17,43.104,48.559
20,34,,20.036,20.178
,27,,35.529,33.837
4,24,,13.182,15.453
0,,25,21.847,28.16
6,,,17.155,25.804
100,22,,44.106,40.03
200,15,,30.293,27.004
60,,26,37.678,61.655
100,26,,34.315,37.948
100,21,,16.282,24.848
100,20,,28.105,42.246
100,,,,
75,22,,31.639,36.627
30,16,,21.179,22.787
6,26,,22.147,30.429
100,18,,45.238,48.107
25,22,,23.388,36.279
200,,18,24.86,51.549
30,28,,17.546,27.078
40,26,,25.599,31.403
50,13,,31.174,37.631
200,20,,31.199,31.588
,,23,56.115,83.163
,26,,,
50,31,,16.687,26.05
20,,19,37.914,54.846
50,24,,22.641,30.488
75,,32,53.899,61.696
100,,19,58.241,74.592
40,14,,39.73,37.016
20,25,,40.16,41.658
100,17,,28.786,36.285
7,,20,,
50,27,,25.182,28.961
100,,,47.531,54.62
40,,19,50.542,61.885
100,17,,21.627,25.346
,21,,33.283,37.376
30,,17,54.148,76.27
40,,18,41.257,42.942
,20,,16.809,25.594
60,,18,41.466,64.313
30,,18,48.664,73.035
40,,22,54.513,74.377
200,,23,35.962,52.233
4,19,,21.934,.a
100,,19,46.094,64.148
20,19,,19.02,26.095
100,,22,41.096,52.159
35,20,,21.055,15.935
40,16,,32.002,31.123
100,,21,56.989,70.916
20,15,,44.646,36.831
75,,,56.18,70.516
,,,44.312,49.442
30,18,,31.072,33.586
10,23,,42.9,53.591
10,23,,37.479,60.79
200,20,,26.28,20.398
30,21,,31.781,46.079
50,23,,30.317,43.157
50,22,,29.215,42.656
,26,,33.131,33.084
50,,24,54.26,62.803
20,,22,57.644,68.662
150,20,,48.204,62.821
,31,,.a,.a
100,,25,42.514,42.141
75,26,,25.566,53.208
30,18,,19.525,15.694
100,,,38.861,49.062
50,,17,37.499,46.596
150,19,,32.255,50.377
90,10,,21.354,17.62
200,22,,33.538,31.299
35,23,,31.089,39.68
50,14,,21.118,20.42
70,,20,46.31,51.59
100,21,,20.187,22.477
20,26,,22.705,34.709
65,,,34.197,29.469
100,,26,37.575,71.196
,,,26.297,32.039
50,19,,,
32,,21,35.386,46.613
50,,,23.12,26.179
50,,29,32.262,62.746
200,,28,41.781,53.25
12,28,,24.327,27.021
,,27,51.665,64.124
75,24,,,
60,,21,26.849,67.642
100,,23,41.16,55.71
10,20,,10.14,.a
30,21,,17.031,23.561
30,,19,40.49,65.055
100,,23,56.593,57.854
80,,23,38.445,52.46
30,,,35.949,63.214
36,27,,32.979,36.144
,20,,30.006,41.152
110,23,,23.995,42.13
30,,23,49.794,66.607
100,,16,55.958,74.429
50,,21,43.714,49.798
50,18,,31.427,33.291
,,,18.13,25.467
50,22,,27.175,39.038
100,18,,33.241,37.968
15,,30,52.922,73.239
50,,26,56.792,73.012
25,,20,27.201,31.521
100,17,,20.859,21.764
20,18,,35.123,49.317
100,,25,57.568,69.378
150,24,,37.815,35.656
36,,22,57.961,71.957
50,,22,51.277,57.27
50,,18,44.243,57.881
100,,21,41.54,57.842
20,26,,25.301,17.008
20,,,,
40,,,26.264,35.617
200,21,,31.945,23.339
50,26,,17.294,25.817
,,21,30.692,40.416
24,21,,27.224,28.988
100,18,,24.614,35.633
5,,,,
200,,,21.154,28.083
50,23,,24.581,34.477
10,15,,20.922,31.615
,,,21.304,28.116
,20,,25.93,28.547
50,19,,37.081,32.942
30,,17,44.781,61.894
25,20,,24.261,30.102
100,,19,33.815,56.196
50,18,,22.886,22.765
,21,,30.762,30.273
100,,15,53.833,74.338
150,20,,34.944,36.801
500,,20,51.988,74.901
20,,19,51.53,51.001
150,,22,48.525,62.541
,,20,32.694,48.843
14,,18,45.169,61.133
7,,17,30.949,54.319
50,,12,46.561,54.493
,,,31.581,36.066
0,,17,23.776,35.664
30,,25,42.786,66.175
60,,22,52.671,56.599
,,30,46.946,47.492
50,29,,22.382,33.155
75,,22,36.727,47.757
100,31,,34.517,37.475
60,,,35.807,42.069
75,,19,43.018,56.552
,,14,45.766,61.478
50,,18,44.763,73.817
45,,12,,
,,,,
,,,14.799,25.989
60,,27,45.571,41.112
100,16,,29.395,18.824
30,23,,11.496,16.615
200,,30,56.144,59.11
200,,22,55.376,62.69
25,22,,36.554,33.057
50,14,,34.693,22.352
6,20,,16.444,.a
,,,29.849,35.044
200,,19,50.945,52.787
,19,,33.518,51.13
,,,37.398,29.072
35,,23,46.785,50.454
50,,19,39.274,50.846
20,,28,55.402,68.786
50,18,,29.265,36.617
30,,24,34.158,52.481
40,17,,38.799,43.572
150,,20,55.594,65.054
50,13,,32.162,36.076
30,26,,34.372,38.643
300,,35,48.255,66.338
10,,,48.47,51.326
100,,,,
500,,26,51.683,57.716
150,,18,56.928,76.983
0,,20,36.956,47.551
40,22,,20.904,21.617
30,28,,16.998,21.174
,23,,39.961,49.619
150,14,,25.913,34.463
,31,,,
60,,35,58.289,67.553
,,,36.953,42.12
50,,17,51.099,64.215
200,,,36.837,44.652
40,,16,33.07,57.228
100,,24,51.168,72.979
,,,43.795,72.083
20,,,34.208,36.61
50,,23,46.508,55.347
100,,19,29.67,55.005
25,,20,48.26,52.495
50,26,,37.407,38.736
50,,16,48.477,65.565
75,16,,35.296,44.682
100,30,,36.02,40.529
25,21,,17.384,20.946
100,22,,36.26,51.467
150,,20,55.534,71.022
10,33,,23.9,32.785
20,,22,44.439,52.21
,,28,58.393,78.912
100,14,,20.336,30.986
50,19,,35.722,38.038
500,,24,34.892,37.029
20,,26,40.196,50.033
40,,,22.786,16.639
,,,31.986,31.68
50,21,,28.613,41.683
30,14,,22.217,23.143
20,20,,38.816,45.009
30,,22,46.583,60.788
,,,22.783,21.104
100,,20,41.281,48.95
20,,20,50.037,64.391
100,,,45.648,67
300,,17,45.446,62.902
220,,19,34.403,26.13
,,,31.502,37.542
100,19,,20.715,23.605
40,,20,29.807,30.704
60,,19,42.859,53.141
7,,21,43.181,53.615
75,,,,
35,19,,37.392,42.336
50,18,,31.214,51.42
20,18,,13.226,17.9
50,,16,41.578,51.722
200,,26,40.488,52.683
200,20,,41.775,37.893
30,,20,43.483,44.632
30,,27,48.374,50.054
100,,22,42.493,58.245
80,19,,12.61,15.04
100,20,,22.794,32.501
100,19,,24.743,26.849
40,16,,,
500,,25,46.428,62.43
4,16,,21.417,29.119
10,20,,20.013,35.334
50,,27,54.078,48.204
75,,17,37.546,63.789
50,,19,53.316,62.779
50,,26,34.207,55.007
50,22,,30.757,43.537
75,,,25.289,49.927
50,29,,39.207,56.015
200,19,,32.201,36.789
200,20,,18.441,31.917
,29,,,
200,,,30.969,38.176
,,,39.379,35.461
0,20,,14.048,16.488
20,18,,15.7,23.539
500,,22,55.626,66.624
,,,17.578,17.075
200,28,,32.612,31.593
100,20,,31.82,36.667
,,,51.093,59.99
100,,19,41.995,65.719
60,18,,21.655,24.791
100,,,39.371,75.148
80,,21,53.363,81.737
50,,16,52.061,54.522
200,,22,60.537,77.85
50,,22,56.177,53.639
10,,18,44.561,
200,26,,54.438,57.732
,,,35.426,37.886
10,20,,30.996,33.433
150,,17,51.95,70.118
,,19,41.703,61.36
,,,30.82,34.077
,19,,,
,26,,,
20,,,30.09,42.76
25,,26,23.14,46.66
100,21,,26.298,31.081
,,21,57.074,66.324
100,,,25.126,39.79
100,,,47.718,50.003
25,,,58.902,54.658
.d,16,,18.626,29.244
25,16,,21.143,19.693
45,27,,22.334,22.382
50,,15,42.86,72.056
50,26,,18.151,31.011
,,20,44.743,71.326
100,,24,36.188,50.862
75,16,,20.505,16.767
200,20,,31.116,42.421
50,,32,47.978,69.25
30,30,,15.153,18.784
120,,,38.557,22.927
0,16,,37.182,58.957
50,25,,41.676,44.273
4,22,,15.242,25.3
,,,.e,19.627
15,,19,38.551,53.324
200,18,,47.493,40.49
75,19,,16.273,18.73
,17,,21.691,20.588
50,25,,24.998,38.213
200,21,,21.321,27.351
150,,13,53.091,66.656
6,20,,.a,.a
,,,21.601,19.621
8,13,,22.058,26.652
50,22,,29.443,25.142
5,26,,16.21,19.495
25,27,,,
100,,23,58.689,69.696
,,20,18.356,22.617
50,24,,32.045,39.533
20,,12,39.997,50.689
150,,21,42.171,64.726
200,,,31.768,37.644
50,,32,40.117,49.849
200,25,,23.61,36.827
75,21,,49.572,61.111
200,23,,21.727,31.529
6,16,,27.472,24.208
40,18,,25.979,26.871
100,,12,45.042,65.641
50,,,20.921,28.479
50,,23,51.593,67.329
30,24,,,
100,,19,42.921,59.457
150,,19,47.261,78.604
100,,20,31.98,37.218
50,15,,,
30,41,,35.675,37.331
60,30,,34.017,32.652
400,,14,56.934,61.303
100,14,,29.221,21.531
10,28,,26.896,31.085
200,16,,30.675,33.758
50,20,,24.926,40.719
150,,24,54.54,70.684
4,,,43.632,59.831
50,18,,31.335,31.232
,25,,,
60,,,,
50,21,,,
50,22,,31.101,33.102
100,,25,20.57,34.667
85,21,,35.161,36.617
30,24,,,
,,20,40.815,61.262
,,,17.24,13.937
100,19,,56.711,64.271
70,21,,35.257,31.058
200,16,,19.405,20.583
200,10,,19.164,27.023
30,20,,36.232,36.404
60,25,,31.887,37.607
150,,22,52.956,79.787
50,,25,41.74,60.673
,,17,31.183,40.95
100,,19,30.841,51.476
75,,25,43.052,51.741
40,19,,19.339,22.046
100,,,23.621,36.299
,,,17.467,27.742
100,25,,33.424,36.79
40,10,,16.119,28.221
25,26,,30.801,31.425
5,20,,14.683,16.537
1,19,,,
10,24,,23.625,30.92
20,,16,40.671,47.07
200,20,,30.68,31.095
50,,13,43.742,52.287
100,,30,56.337,63.724
,,,,
100,26,,31.813,24.504
30,23,,23.042,28.714
20,20,,45.945,.a
50,,,56.19,61.436
100,,14,48.572,61.734
30,22,,23.003,30.912
,,,36.221,36.867
75,,15,44.398,64.599
125,,,,
200,14,,31.132,32.323
200,25,,37.053,53.99
30,,21,23.015,29.104
200,15,,23.057,19.009
150,,,38.727,36.763
150,,22,46.495,60.844
100,,19,45.405,65.324
50,,16,54.909,56.493
,,23,46.734,64.647
30,,21,49.139,43.963
100,18,,38.408,40.902
100,10,,17.253,16.391
30,23,,31.897,51.482
100,,25,53.196,55.92
45,24,,24.196,32.331
500,,15,60.159,79.74
300,,20,47.37,65.671
100,17,,36.352,64.51
150,16,,24.741,43.076
200,18,,32.308,28.498
70,,,19.418,.a
100,20,,32.575,46.049
200,22,,27.377,36.208
75,,20,42.337,39.586
100,,,56.061,68.963
40,,21,41.338,62.224
150,20,,30.359,39.02
100,,,28.719,34.997
150,,14,51.846,62.061
40,20,,39.565,33.349
7,26,,22.703,30.351
100,,14,43.042,48.45
100,,21,46.464,45.962
150,13,,29.562,29.095
250,,19,54.54,69.554
,19,,,
,,,50.176,58.331
25,,19,35.884,31.009
200,16,,30.959,28.264
,,,,
100,19,,37.227,57.022
40,,31,43.109,51.428
,15,,,
,,,18.947,31.057
25,,25,45.935,71.34
20,23,,21.219,22.485
60,21,,29.468,50.638
,,,,
30,20,,18.778,29.544
6,,28,39.207,56.741
50,11,,12.316,15.369
50,,26,44.35,70.178
100,17,,28.247,30.831
180,20,,43.977,43.231
,,23,34.835,66.251
200,26,,20.463,25.047
,18,,21.397,27.603
100,,13,36.824,41.366
50,22,,24.237,44.808
200,,,25.951,23.689
100,,28,46.584,82.203
60,,20,32.301,
100,,23,51.81,74.851
20,,19,32.312,50.552
40,19,,14.646,18.784
60,10,,20.178,22.523
50,,20,54.854,62.167
100,,20,43.297,52.494
75,,,,
30,,21,48.855,
,,23,52.66,73.228
100,,25,51.854,59.919
,,21,40.127,42.528
30,,21,33.018,39.905
100,24,,43.974,57.381
200,20,,34.113,37.339
20,25,,23.994,29.377
20,,,16.977,20.597
50,21,,,
50,10,,28.314,42.474
30,26,,26.313,31.698
20,,22,51.114,63.222
100,23,,41.492,39.376
100,20,,,
,,,14.316,26.157
100,,,,
200,20,,32.575,44.685
50,,20,54.771,74.101
15,,17,36.069,46.037
75,22,,22.129,23.966
25,,18,32.969,52.584
85,23,,23.937,23.729
50,,,,
5,,20,44.341,57.795
30,,20,42.602,62.271
30,,20,48.124,73.955
25,20,,12.395,12.661
100,,34,43.284,54.939
,24,,35.638,37.567
50,27,,23.811,22.988
250,,,52.132,71.453
58,,22,33.597,46.108
,,,43.831,49.682
,,24,51.131,72.557
10,11,,38.43,42.759
,,27,39.257,51.063
200,23,,41.531,49.252
200,21,,20.476,32.443
80,24,,21.259,29.573
50,23,,17.744,24.879
0,18,,21.471,15.878
50,,22,41.89,64.505
70,20,,18.201,28.263
200,16,,23.973,15.957
20,21,,16.319,24.302
10,,21,43.68,48.859
200,23,,18.123,22.231
350,,21,57.453,75.387
75,33,,42.433,36.063
100,,15,44.718,43.079
100,,,,
50,21,,32.56,29.319
30,,,24.036,14.28
70,28,,22.73,32.162
100,,21,50.162,75.374
30,,20,55.204,66.928
50,10,,32.546,35.343
,,,31.305,35.831
10,15,,24.65,.a
150,,22,53.178,57.914
5,,,44.866,50.11
100,20,,26.435,20.564
500,,23,60.501,62.939
,,,18.003,23.398
55,21,,20.581,25.711
8,22,,20.517,31.45
200,19,,25.699,33.917
150,,,48.577,39.222
70,20,,20.013,.a
40,24,,27.106,31.359
20,,20,34.554,31.662
30,16,,17.178,20.442
12,,,36.614,42.955
10,,,31.4,35.902
250,,21,27.308,39.518
50,,25,48.044,46.089
50,20,,44.138,54.637
35,,27,54.078,59.642
,,,31.605,35.964
,,20,59.928,71.426
,,,30.569,38.918
,,,16.116,18.967
,,22,34.355,34.289
35,,,29.243,47.376
30,,20,38.124,32.774
.d,13,,34.781,41.816
50,27,,24.779,50.095
75,,,51.552,67.593
100,,23,46.263,66.179
15,,,16.88,21.126
30,,,32.454,29.014
50,,23,51.357,69.621
100,31,,23.87,40.097
30,20,,32.459,48.702
100,21,,24.654,26.944
50,20,,14.397,28.819
,27,,14.554,17.191
150,,,39.912,38.926
110,,,56.569,68.927
10,21,,22.939,32.147
200,13,,35.84,42.383
100,26,,22.653,29.321
75,,32,52.682,60.925
124,,21,51.36,68.524
50,15,,21.647,27.948
100,27,,35.714,41.637
11,20,,20.074,21.559
,,16,32.58,33.57
200,30,,32.816,40.154
30,20,,20.668,26.783
100,21,,35.486,53.344
200,,26,49.517,66.816
100,,14,46.361,49.51
20,25,,13.599,16.975
,,,47.031,45.725
75,18,,38.427,31.967
20,,14,20.306,24.184
,25,,22.977,36.179
100,22,,29.095,51.951
200,23,,,
300,,,36.959,36.324
30,,25,49.836,70.688
35,,24,32.11,60.018
,19,,,
,,18,42.061,38.566
15,,27,35.742,38.15
50,,12,21.202,30.595
3,,18,50.851,
600,,15,15.847,31.211
100,,,25.845,27.426
80,18,,33.1,23.488
2,14,,22.011,32.976
150,,13,43.919,51.269
50,24,,34.173,39.584
100,,14,46.393,55.515
150,,21,53.33,62.774
100,33,,24.707,31.426
10,20,,20.922,28.36
,16,,,
100,19,,30.278,32.42
75,22,,31.259,38.514
200,,23,45.128,66.767
50,29,,24.665,23.42
100,20,,33.115,42.697
,,,21.818,38.816
300,,18,54.105,74.509
30,,16,53.484,60.791
20,17,,18.674,24.65
120,,14,28.436,59.762
10,21,,18.79,21.929
30,30,,27.277,43.818
60,23,,26.459,32.958
200,24,,41.573,43.891
50,,,33.001,43.488
,,30,23.67,30.111
15,,20,43.046,
,,,34.669,39.006
50,17,,15.663,15.882
,,34,46.839,56.465
10,18,,20.582,30.806
2,,24,39.81,47.939
125,,17,41.124,48.856
35,,19,57.591,81.335
60,,19,33.823,41.311
150,,23,44.931,57.279
,,,37.475,38.386
200,26,,29.019,26.808
100,23,,41.754,32.777
30,15,,22.096,29.147
100,,20,52.216,68.411
,,,16.621,22.385
200,15,,17.535,28.479
50,,22,32.784,33.59
,,20,38.198,
100,,23,53.694,66.554
100,20,,31.312,33.143
,,,23.767,26.209
10,,23,30.698,35.989
80,,,42.808,46.372
300,,21,49.743,64.238
60,16,,38.128,56.328
75,20,,33.445,38.532
40,20,,24.798,39.44
50,,13,45.421,67.578
130,,,46.479,43.439
30,17,,27.5,30.26
100,19,,31.63,27.846
59,,25,29.06,30.4
.d,20,,28.333,35.961
300,,30,40.336,48.718
100,,30,53.806,58.071
6,17,,,
100,,20,57.362,77.773
200,,19,38.494,59.27
6,20,,16.244,.a
30,27,,21.22,28.62
90,,19,41.12,65.116
0,,22,28.576,43.583
100,,19,36.333,38.746
200,19,,19.652,31.768
100,,20,41.151,65.452
100,,19,33.554,51.823
50,25,,39.178,38.035
40,13,,38,52.427
150,,28,55.193,81.628
30,18,,33.02,30.581
300,,21,45.474,56.908
100,,,49.223,55.254
25,,30,51.322,73.053
,,24,52.485,79.536
200,,18,52.675,48.41
50,,15,56.235,69.772
25,,15,55.013,73.334
15,20,,27.962,35.695
50,18,,30.837,29.789
15,22,,20.934,34.515
90,,,18.427,31.503
20,24,,30.841,34.468
50,15,,27.183,26.472
100,16,,21.792,20.677
800,,21,37.168,43.346
100,14,,35.757,54.614
6,16,,11.974,.a
100,23,,30.093,29.995
,28,,23.334,26.096
65,22,,16.125,41.011
,20,,,
10,,23,18.384,32.722
100,,19,54.568,55.391
100,20,,32.421,45.541
12,28,,18.433,.a
200,,20,49.975,56.966
,,,21.741,26.032
100,,22,34.263,51.315
,,18,44.84,54.369
50,26,,21.066,19.888
4,20,,39.733,43.603
100,,20,35.068,44.269
75,25,,43.964,54.137
125,20,,42.977,46.495
60,,24,37.863,53.471
250,,20,50.713,65.684
200,20,,27.666,38.556
150,,20,38.113,47.252
30,,25,37.522,53.351
100,,26,57.013,49.843
30,20,,21.585,53.01
50,,34,54.337,62.228
130,,,39.867,50.479
250,,20,39.024,32.635
13,,19,46.175,37.309
,,,35.558,27.072
