ClassGrade,Gender,Ageyears,Handed,Travel_to_School,Favourite_physical_activity,Longer_foot,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Home_Internet_Access,Communication_With_Friends,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
12,Male,17,,Car,Golf,Right foot,Ring finger,February,Winter,Yes,No,Pizza/Pasta,Water,Geography,Yes - other,Text messaging,None,Graduate degree,Other,Telepathy,Famous,,"Wildlife, animals"
12,Male,16,Right-Handed,Car,Baseball/Softball,Same length,Index finger,August,Winter,No,No,Meat,Water,Science,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",A lot,Graduate degree,Rap/Hip hop,Freeze time,Famous,Musician or singer,"Arts, culture, sports"
12,Female,18,Right-Handed,Car,Walking/Hiking,Left foot,Index finger,February,Summer,No,No,Rice/Noodle dishes,Water,Other,Yes - other,In person,A lot,Graduate degree,Pop,Fly,Rich,Relative,International aid
12,Male,17,Right-Handed,Bus,Tennis,Same length,Ring finger,June,Summer,No,No,Meat,Water,Art,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",A lot,Some college,Other,Fly,Happy,Relative,Health
12,Female,18,Right-Handed,Car,Other,Right foot,Index finger,September,Summer,Yes,No,Pizza/Pasta,Soft drink (caffeinated),English,Yes - broadband connection,In person,Some,Graduate degree,Gospel,Fly,Happy,Religious figure,Religious
12,Male,17,Right-Handed,Car,Football (American),Same length,Index finger,July,Summer,No,No,Meat,Water,English,No internet connection,In person,Some,Graduate degree,Country,Super strength,Happy,Relative,Religious
12,Male,17,Right-Handed,Car,Other,Same length,Index finger,December,Winter,No,No,Fruit,Tea,Other,Yes - broadband connection,In person,None,Graduate degree,Rap/Hip hop,Freeze time,Famous,Relative,Health
12,Male,18,Left-Handed,Car,Soccer,Same length,,,Winter,No,No,Pizza/Pasta,Juice,Computers and technology,Yes - broadband connection,Cell phone,None,Less than high school,Rap/Hip hop,Fly,Happy,Religious figure,Religious
12,Female,18,Right-Handed,Car,Golf,Left foot,Index finger,April,Summer,No,No,Pizza/Pasta,Energy drink,History,Yes - other,Cell phone,Some,Graduate degree,Other,Telepathy,Healthy,Musician or singer,Health
11,Female,17,Right-Handed,Car,Running/Jogging,Right foot,Index finger,June,Spring,Yes,No,Fruit,Water,English,Yes - other,Internet chat or instant messaging,None,Graduate degree,Rhythm and blues (R&B),Telepathy,Healthy,Relative,Health
12,Female,16,Right-Handed,Car,Athletics,Right foot,Ring finger,September,Spring,No,No,Fruit,Water,English,Yes - other,In person,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,"Wildlife, animals"
12,Male,17,Right-Handed,Car,None,Same length,Same length,January,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,Yes - other,In person,A lot,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Doctor or nurse,Religious
12,Female,17,Right-Handed,Car,Swimming,Same length,Index finger,May,Fall,Yes,No,Rice/Noodle dishes,Milk,Other,,Text messaging,None,Graduate degree,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
12,Female,18,Right-Handed,Bus,Walking/Hiking,Same length,Ring finger,October,Winter,No,No,Rice/Noodle dishes,Juice,Art,Yes - other,In person,,,,,,,
12,Female,16,Right-Handed,Car,Basketball,Right foot,Index finger,November,Fall,Yes,No,Rice/Noodle dishes,Water,Other,Yes - other,Internet chat or instant messaging,A lot,Other,Country,Invisibility,Rich,Relative,Religious
12,Female,16,Ambidextrous,Car,Dancing,Left foot,Ring finger,December,Fall,Yes,No,Rice/Noodle dishes,Soft drink (caffeinated),History,Yes - other,Text messaging,A lot,Less than high school,Pop,Telepathy,Happy,Community leader or elder,Education/Youth development
11,Female,17,Right-Handed,Car,Athletics,Same length,Ring finger,November,Fall,No,No,Breads/Sandwiches,Juice,Other,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Very little,Other,Other,Fly,Rich,Other,Health
12,Female,18,Right-Handed,Car,Walking/Hiking,Same length,Ring finger,December,Winter,Yes,No,Meat,Water,History,Yes - broadband connection,Text messaging,Some,Some college,Rap/Hip hop,Telepathy,Rich,Relative,Health
12,Male,18,Left-Handed,Car,Football (American),Left foot,Ring finger,August,Summer,Yes,No,Meat,Milk,Other,Yes - broadband connection,In person,A lot,Undergraduate degree,Other,Super strength,Happy,Coach or club leader,Health
12,Male,16,Left-Handed,Car,Soccer,Left foot,Index finger,January,Summer,No,No,Breads/Sandwiches,Water,Physical education,Yes - other,Cell phone,Some,High school,Other,Invisibility,Rich,Actor,Health
12,Female,17,Right-Handed,Car,Swimming,Left foot,Index finger,June,Winter,Yes,No,Pizza/Pasta,Water,Social studies,Yes - other,Internet chat or instant messaging,A lot,Graduate degree,Pop,Invisibility,Happy,Relative,Religious
12,Male,18,Left-Handed,Car,Football (American),Same length,Index finger,December,Summer,Yes,No,Meat,Juice,Computers and technology,Yes - broadband connection,Text messaging,A lot,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Coach or club leader,Education/Youth development
11,Male,16,Right-Handed,Bus,Football (American),Same length,Same length,August,Fall,Yes,No,Meat,Soft drink (caffeinated),Science,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",Some,Other,Pop,Super strength,Happy,Sports person,International aid
12,Female,18,Right-Handed,Car,Other,Same length,Ring finger,January,Summer,No,No,Fruit,Coffee,Other,Yes - other,In person,Very little,Graduate degree,Country,Telepathy,Famous,Friend,Health
12,Male,16,Right-Handed,Car,Basketball,Same length,Ring finger,June,Summer,No,No,Pizza/Pasta,Water,Computers and technology,Yes - other,Internet chat or instant messaging,Some,Undergraduate degree,Rap/Hip hop,Fly,Rich,Sports person,Environment
12,Male,17,Right-Handed,Car,Basketball,Same length,Ring finger,August,Summer,No,No,Meat,Other,Other,Yes - other,Text messaging,Some,Other,Other,Invisibility,Rich,Other,Other
12,Female,17,Right-Handed,Car,Soccer,Right foot,Index finger,January,Fall,Yes,No,Poultry,Water,Physical education,Yes - broadband connection,Text messaging,Very little,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,"Wildlife, animals"
12,Female,16,Left-Handed,Car,Baseball/Softball,Same length,Index finger,August,Winter,No,No,Poultry,Sports drink,English,Yes - broadband connection,Text messaging,Very little,Some college,Rap/Hip hop,Freeze time,Rich,Other,"Wildlife, animals"
11,Female,16,Right-Handed,Car,Baseball/Softball,Same length,Ring finger,June,Winter,No,No,Pizza/Pasta,Coffee,Physical education,Yes - broadband connection,Internet chat or instant messaging,Some,Graduate degree,Country,Fly,Happy,Sports person,Religious
12,Female,17,Right-Handed,Car,Other,Same length,Index finger,June,Fall,No,No,Meat,Water,Physical education,Yes - broadband connection,Text messaging,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,Health
12,Male,17,Right-Handed,Car,Soccer,Same length,Ring finger,May,Winter,No,No,Meat,Water,History,Yes - broadband connection,In person,Very little,Graduate degree,Rap/Hip hop,Freeze time,Rich,Other,Environment
12,Female,17,Right-Handed,Bus,Other,Same length,Ring finger,June,Winter,No,No,Pizza/Pasta,Water,Art,Yes - broadband connection,Text messaging,Very little,Graduate degree,Punk rock,,Rich,Actor,"Arts, culture, sports"
12,Male,17,Right-Handed,Car,Soccer,Same length,Index finger,December,Fall,No,No,Meat,Water,Mathematics and statistics,Yes - other,Text messaging,Some,Graduate degree,Other,Super strength,Rich,Business person,International aid
12,Female,17,Right-Handed,Car,None,Same length,Ring finger,August,Fall,Yes,No,Poultry,Water,English,Yes - other,Internet chat or instant messaging,A lot,Graduate degree,Rhythm and blues (R&B),Freeze time,Rich,Community leader or elder,Education/Youth development
12,Male,18,Right-Handed,Car,Walking/Hiking,Same length,Index finger,October,Winter,Yes,No,Seafood,Soft drink (caffeinated),Computers and technology,Yes - broadband connection,Text messaging,Some,Graduate degree,Heavy metal,Super strength,Rich,Relative,Education/Youth development
12,Male,17,Right-Handed,Bus,Football (American),Same length,Ring finger,March,Winter,No,No,Other,Other,Other,Yes - dial-up connection,In person,Some,High school,Reggae,Telepathy,Rich,Actor,Other
12,,1,Left-Handed,Boat,Rowing,Left foot,Ring finger,November,Fall,No,No,Meat,Milk,Geography,No internet connection,In person,,,,,,,
12,Female,18,Right-Handed,Car,None,Same length,Ring finger,August,Fall,No,No,Desserts,Powdered drink,English,Yes - other,In person,A lot,Graduate degree,Reggae,Telepathy,Rich,Doctor or nurse,Health
12,Male,16,Left-Handed,Car,Walking/Hiking,Same length,Index finger,July,Winter,Yes,No,Rice/Noodle dishes,Energy drink,Music,Yes - other,Text messaging,Very little,High school,Gospel,Telepathy,Healthy,Other,International aid
12,Male,17,Right-Handed,Car,Golf,Right foot,Ring finger,February,Winter,Yes,No,Pizza/Pasta,Water,Geography,Yes - other,Text messaging,None,Graduate degree,Other,Telepathy,Famous,Relative,"Wildlife, animals"
12,Female,17,Right-Handed,Car,None,Right foot,,February,Winter,Yes,No,Meat,Juice,Computers and technology,Yes - other,Text messaging,Some,High school,Country,Freeze time,Happy,Friend,Other
12,Female,17,Right-Handed,Car,Swimming,Same length,Index finger,May,Fall,Yes,No,Rice/Noodle dishes,Milk,Other,Yes - other,Text messaging,None,Graduate degree,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
12,Female,17,Right-Handed,Car,Other,Left foot,Ring finger,October,Fall,Yes,No,Breads/Sandwiches,Water,History,,Internet chat or instant messaging,Some,Undergraduate degree,Punk rock,Telepathy,Happy,Teacher,Health
10,Female,15,Right-Handed,Car,Other,Same length,Same length,April,Fall,No,No,Fruit,Water,Physical education,Yes - broadband connection,Text messaging,Some,Other,Pop,Telepathy,Happy,Other,"Wildlife, animals"
12,Female,17,Right-Handed,Car,Soccer,Same length,Same length,June,Winter,Yes,No,Other,Water,Physical education,Yes - broadband connection,Text messaging,Some,Graduate degree,Other,Telepathy,Rich,Relative,"Wildlife, animals"
12,Male,17,Right-Handed,Car,Soccer,Same length,Same length,May,Fall,Yes,No,No favorite,Water,Physical education,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",None,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Other,International aid
12,Female,17,Right-Handed,Car,Tennis,Same length,Ring finger,July,Fall,Yes,No,Rice/Noodle dishes,Tea,Art,Yes - other,In person,A lot,Graduate degree,Other,Freeze time,Happy,Other,Health
12,Female,17,Right-Handed,Car,Gymnastics,Same length,Index finger,June,Summer,Yes,No,Pizza/Pasta,Water,Music,,Text messaging,Some,Graduate degree,Pop,Telepathy,Healthy,Relative,"Arts, culture, sports"
10,Female,14,Right-Handed,Bus,Dancing,Same length,Index finger,April,Winter,No,No,Rice/Noodle dishes,Water,Music,Yes - broadband connection,Text messaging,Some,Graduate degree,Pop,Telepathy,Happy,Business person,Health
12,Male,17,Right-Handed,Car,Walking/Hiking,Left foot,Ring finger,February,Fall,Yes,No,Meat,Water,Science,Yes - broadband connection,Text messaging,Some,High school,Country,Super strength,Happy,Relative,Environment
12,Female,17,Right-Handed,Car,Walking/Hiking,Same length,Index finger,April,Spring,Yes,No,Desserts,Coffee,History,Yes - other,Text messaging,A lot,Undergraduate degree,Pop,Freeze time,Happy,Relative,International aid
10,Male,15,Right-Handed,Bus,Soccer,Same length,Ring finger,September,Winter,Yes,No,Meat,Water,Physical education,Yes - other,Text messaging,Some,Graduate degree,Other,Freeze time,Rich,Relative,International aid
12,Female,16,Right-Handed,Car,Other,Same length,Ring finger,May,Fall,No,No,Poultry,Water,Languages,Yes - other,In person,Some,Graduate degree,Reggae,Telepathy,Happy,Other,Education/Youth development
12,Male,16,Right-Handed,Car,Athletics,Same length,Index finger,February,Fall,No,No,Meat,Water,Physical education,Yes - other,Text messaging,Some,Undergraduate degree,Other,Super strength,Rich,Other,Health
11,Male,18,Right-Handed,Car,Tennis,Same length,Index finger,November,Summer,Yes,No,Poultry,Soft drink (caffeinated),History,Yes - broadband connection,Text messaging,Some,Graduate degree,Pop,Invisibility,Rich,Religious figure,"Arts, culture, sports"
10,Female,15,Right-Handed,Bus,Athletics,Left foot,Ring finger,October,Fall,No,No,Seafood,Water,Mathematics and statistics,Yes - broadband connection,Text messaging,A lot,Graduate degree,Classical,Freeze time,Rich,Relative,"Wildlife, animals"
12,Male,17,Right-Handed,Car,Bowling,Same length,Same length,March,Summer,Yes,No,Meat,Energy drink,Mathematics and statistics,Yes - broadband connection,Text messaging,Very little,Undergraduate degree,Jazz,Freeze time,Rich,Religious figure,Religious
12,Male,16,Right-Handed,Car,Football (American),Right foot,Ring finger,February,Winter,No,No,Meat,Water,Art,Yes - broadband connection,In person,Some,High school,Rap/Hip hop,Fly,Rich,Other,Health
12,Male,16,Right-Handed,Car,Basketball,,,,,,,,,,,,,,,,,,
12,Female,16,Right-Handed,,,,,,,,,,,,,,,,,,,,
12,Male,17,Right-Handed,Car,Soccer,Same length,,July,Summer,No,No,Meat,Water,Physical education,Yes - other,In person,None,Graduate degree,Rap/Hip hop,Telepathy,Rich,Business person,"Arts, culture, sports"
12,Female,17,Right-Handed,Car,Other,Same length,Index finger,December,Fall,Yes,No,Fruit,Soft drink (caffeinated),Other,Yes - other,In person,Some,Graduate degree,Other,Fly,Rich,Friend,International aid
12,Female,17,Right-Handed,Car,Other,Same length,Index finger,August,Fall,No,No,Seafood,Water,Science,Yes - broadband connection,Internet chat or instant messaging,Some,Graduate degree,Rock and roll,Invisibility,Rich,Other,"Wildlife, animals"
12,Female,16,Right-Handed,Car,Other,Left foot,Index finger,,Fall,Yes,No,Seafood,Water,English,Yes - dial-up connection,Text messaging,A lot,Graduate degree,Other,Telepathy,Happy,Business person,Health
10,Male,15,Right-Handed,Bus,Basketball,Same length,Same length,September,Fall,Yes,No,Meat,Tea,Science,Yes - other,In person,Some,Graduate degree,Classical,Fly,Healthy,Community leader or elder,Health
12,Male,17,Right-Handed,Car,Football (American),,Index finger,September,Summer,No,No,Seafood,Water,Science,,Text messaging,None,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,Health
12,Female,17,Right-Handed,Car,None,Right foot,,February,Winter,Yes,No,Meat,Juice,Computers and technology,Yes - other,Text messaging,Some,High school,Country,Freeze time,Happy,Friend,Other
12,Female,18,Right-Handed,Car,None,Same length,Same length,March,Fall,No,No,Pizza/Pasta,Water,Art,Yes - other,Text messaging,A lot,Other,Pop,Telepathy,Healthy,Musician or singer,"Arts, culture, sports"
12,Male,17,Right-Handed,Car,Other,Right foot,Index finger,July,Summer,No,No,Meat,Soft drink (caffeinated),Other,Yes - other,In person,Very little,Some college,Rap/Hip hop,Super strength,Rich,Business person,"Wildlife, animals"
12,Female,17,Right-Handed,Car,Swimming,Same length,Same length,April,Fall,Yes,Yes,No favorite,Water,Science,,Text messaging,A lot,Graduate degree,Other,Telepathy,Happy,Other,International aid
12,Female,17,Right-Handed,Car,None,Same length,Ring finger,June,Winter,No,No,Poultry,Water,Mathematics and statistics,Yes - broadband connection,Internet chat or instant messaging,Some,High school,Rhythm and blues (R&B),Telepathy,Healthy,Business person,"Wildlife, animals"
12,Male,17,Ambidextrous,Car,Skateboarding/Rollerblading,Same length,Index finger,May,Summer,No,No,Fruit,Energy drink,Physical education,Yes - broadband connection,Internet chat or instant messaging,Some,High school,Punk rock,Fly,Rich,Friend,"Wildlife, animals"
10,Male,15,Right-Handed,Car,,,,,,,,,,,,,,,,,,,
12,Female,16,Right-Handed,Car,Dancing,Same length,Ring finger,March,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),Other,Yes - other,Text messaging,Some,Undergraduate degree,Country,Telepathy,Rich,Musician or singer,"Arts, culture, sports"
12,Male,`18,Right-Handed,Car,Other,Same length,Index finger,May,Fall,No,No,Meat,Water,Physical education,Yes - broadband connection,Telephone,Some,Some college,Country,Invisibility,Happy,Coach or club leader,Other
12,Male,18,Right-Handed,Car,Martial Arts,Same length,Index finger,March,Winter,No,No,Meat,Tea,Computers and technology,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",Some,Some college,Rap/Hip hop,Telepathy,Healthy,Other,Health
12,Male,17,Ambidextrous,Skateboard/Scooter/Rollerblade,Skateboarding/Rollerblading,Same length,Ring finger,January,Winter,No,No,Rice/Noodle dishes,Soft drink (caffeinated),Computers and technology,Yes - other,Text messaging,Very little,Some college,Rap/Hip hop,Freeze time,Happy,Relative,Health
12,Male,18,Right-Handed,Car,Martial Arts,Same length,Same length,June,Winter,No,No,Rice/Noodle dishes,Water,History,Yes - broadband connection,In person,Very little,Undergraduate degree,Punk rock,Invisibility,Rich,Relative,Education/Youth development
12,Female,18,Right-Handed,Car,Soccer,Right foot,Index finger,September,Fall,No,No,Meat,Water,Mathematics and statistics,,Text messaging,Some,Graduate degree,Pop,Telepathy,Happy,Relative,Education/Youth development
11,Female,15,Right-Handed,Car,Running/Jogging,Right foot,Ring finger,February,Fall,No,No,Fruit,Water,Science,Yes - broadband connection,In person,A lot,Graduate degree,Jazz,Freeze time,Happy,Relative,International aid
12,Female,17,Right-Handed,Car,Other,Right foot,Same length,March,Spring,Yes,No,Pizza/Pasta,Water,English,Yes - other,,Very little,Graduate degree,Country,Telepathy,Happy,Relative,Religious
12,Female,16,Right-Handed,Car,Other,Same length,Ring finger,June,Fall,Yes,No,Seafood,Water,Mathematics and statistics,Yes - broadband connection,Text messaging,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Rich,Friend,Health
12,Male,17,Right-Handed,Car,Bowling,Left foot,Ring finger,April,Winter,Yes,No,Meat,Water,Mathematics and statistics,Yes - broadband connection,In person,Very little,High school,Rap/Hip hop,Freeze time,Happy,Relative,"Arts, culture, sports"
12,Male,17,Right-Handed,Car,Walking/Hiking,Same length,Index finger,November,Fall,No,No,Poultry,Water,Science,Yes - broadband connection,Internet chat or instant messaging,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,Health
12,Female,17,Right-Handed,Car,Tennis,Same length,Ring finger,July,Summer,No,No,Pizza/Pasta,Water,History,Yes - broadband connection,Cell phone,A lot,Graduate degree,Pop,Invisibility,Healthy,Coach or club leader,Religious
12,Male,17,Right-Handed,Car,Soccer,Same length,Ring finger,May,Winter,No,No,Meat,Water,Mathematics and statistics,Yes - broadband connection,In person,Very little,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Health
12,Female,18,Right-Handed,Car,None,Left foot,Ring finger,May,Fall,Yes,No,Rice/Noodle dishes,Water,Art,Yes - other,In person,Very little,High school,Pop,Telepathy,Rich,Relative,"Wildlife, animals"
10,Male,14,Right-Handed,Car,Soccer,Same length,Index finger,May,Winter,No,No,Meat,Water,Science,Yes - other,Text messaging,Very little,Graduate degree,Rock and roll,Freeze time,Healthy,Relative,Health
12,Female,16,Right-Handed,Car,Baseball/Softball,Same length,Ring finger,May,Fall,No,No,No favorite,Water,Other,Yes - dial-up connection,Text messaging,Very little,Graduate degree,Other,Telepathy,Healthy,Other,"Wildlife, animals"
12,Female,20,Right-Handed,Car,Soccer,Left foot,Index finger,August,Summer,No,No,Seafood,Water,Art,Yes - other,Text messaging,Very little,High school,Other,Fly,Healthy,Actor,"Wildlife, animals"
10,Female,13,Left-Handed,Bus,Other,Same length,Ring finger,September,Fall,No,No,Pizza/Pasta,Juice,Physical education,Yes - broadband connection,Internet chat or instant messaging,Some,Less than high school,Rhythm and blues (R&B),Telepathy,Famous,Religious figure,Health
12,Male,18,Left-Handed,Bus,None,Left foot,Index finger,January,Winter,,No,Pizza/Pasta,Water,Art,Yes - other,Text messaging,Some,Some college,Heavy metal,Fly,Rich,Actor,Health
12,Female,17,Right-Handed,Bus,Dancing,Same length,Same length,June,Summer,No,No,Pizza/Pasta,Water,History,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,High school,Rap/Hip hop,Telepathy,Rich,Business person,International aid
12,Female,17,Right-Handed,Car,Soccer,Same length,Ring finger,September,Spring,Yes,No,Meat,Soft drink (caffeinated),English,Yes - broadband connection,Text messaging,Very little,High school,Other,Telepathy,Rich,Sports person,Education/Youth development
12,Female,17,Right-Handed,Car,Walking/Hiking,Same length,Index finger,May,Fall,No,No,Seafood,Coffee,Other,Yes - other,Text messaging,Some,Graduate degree,Rock and roll,Telepathy,Rich,Religious figure,Environment
12,Female,17,Right-Handed,Car,Soccer,Same length,Ring finger,July,Fall,No,No,Soups,Soft drink (caffeinated),Other,Yes - other,Text messaging,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,Education/Youth development
12,Male,17,Right-Handed,Car,Walking/Hiking,Left foot,Ring finger,May,Winter,Yes,No,Seafood,Soft drink (caffeinated),Computers and technology,Yes - broadband connection,Text messaging,Very little,Graduate degree,Rap/Hip hop,Freeze time,Happy,Other,Religious
10,Male,15,Right-Handed,Car,Other,Same length,Ring finger,May,Winter,Yes,No,Pizza/Pasta,Soft drink (non-caffeinated),Computers and technology,Yes - broadband connection,Text messaging,Very little,Graduate degree,Other,Freeze time,Rich,Other,Other
12,Female,17,Right-Handed,Car,None,Same length,Index finger,October,Fall,No,No,Rice/Noodle dishes,Water,Science,Yes - broadband connection,Internet chat or instant messaging,A lot,Graduate degree,Other,Fly,Rich,Musician or singer,International aid
12,Male,18,Left-Handed,Car,Soccer,Same length,,,Winter,No,No,Pizza/Pasta,Juice,Computers and technology,Yes - broadband connection,Cell phone,None,Less than high school,Rap/Hip hop,Fly,Happy,Religious figure,Religious
11,Male,17,Right-Handed,Car,Basketball,Same length,Ring finger,March,Summer,No,No,Seafood,Tea,Computers and technology,Yes - other,Text messaging,A lot,Undergraduate degree,Other,Freeze time,Happy,Relative,"Arts, culture, sports"
11,Male,16,Right-Handed,Car,Other,,,,,,,,,,,,,,,,,,
12,Female,17,Right-Handed,Car,Other,Right foot,Ring finger,July,Summer,Yes,No,Seafood,Soft drink (caffeinated),Science,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Very little,Graduate degree,Rap/Hip hop,Fly,Happy,Coach or club leader,Health
12,Female,17,,,,,,,,,,,,,,,,,,,,,
11,Female,16,Right-Handed,Car,Dancing,Right foot,Index finger,July,Summer,Yes,No,Fruit,Sports drink,Science,Yes - other,Text messaging,A lot,Graduate degree,Country,Telepathy,Happy,Sports person,"Wildlife, animals"
10,Female,14,Right-Handed,Car,Walking/Hiking,Same length,Ring finger,December,Winter,No,No,Fruit,Milk,History,No internet connection,In person,Some,Some college,Pop,Freeze time,Rich,Community leader or elder,Health
12,Female,17,Right-Handed,Car,Other,Same length,Index finger,March,Summer,Yes,No,Seafood,Juice,Other,Yes - broadband connection,Cell phone,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,"Arts, culture, sports"
12,Male,17,Right-Handed,Car,Football (American),Right foot,Ring finger,February,Summer,Yes,No,Meat,Water,Computers and technology,Yes - other,Internet chat or instant messaging,None,Graduate degree,Rap/Hip hop,Fly,Rich,Coach or club leader,Education/Youth development
12,Female,16,Right-Handed,Car,Soccer,Same length,Ring finger,November,Fall,No,No,Desserts,Powdered drink,English,Yes - other,In person,A lot,Other,Other,Invisibility,Famous,Business person,Environment
12,Female,17,Left-Handed,Car,Other,Same length,Same length,December,Winter,No,No,Rice/Noodle dishes,Energy drink,History,Yes - other,In person,Some,Graduate degree,Pop,Telepathy,Rich,Relative,"Wildlife, animals"
12,Male,17,Right-Handed,Car,Football (American),Same length,Ring finger,November,Winter,No,No,Poultry,Water,History,Yes - dial-up connection,Text messaging,A lot,Some college,Country,Freeze time,Rich,Relative,Health
12,Female,17,Right-Handed,Car,Gymnastics,Same length,Same length,May,Summer,No,No,Meat,Energy drink,Other,Yes - other,Text messaging,None,High school,Rap/Hip hop,Invisibility,Rich,Teacher,Education/Youth development
12,Male,17,Right-Handed,Car,Other,Same length,Ring finger,May,Summer,No,No,Pizza/Pasta,Water,Computers and technology,Yes - broadband connection,In person,Very little,Undergraduate degree,Punk rock,Fly,Happy,Business person,International aid
12,Female,17,Ambidextrous,Car,Baseball/Softball,Right foot,Ring finger,June,Fall,No,No,Rice/Noodle dishes,Water,Computers and technology,Yes - broadband connection,Text messaging,Very little,Undergraduate degree,Rap/Hip hop,Fly,Famous,Business person,"Arts, culture, sports"
12,Female,17,Right-Handed,Car,Bowling,Left foot,Ring finger,January,Fall,Yes,No,Rice/Noodle dishes,Water,Music,Yes - broadband connection,Text messaging,A lot,Graduate degree,Country,Invisibility,Happy,Religious figure,Health
12,Female,17,Left-Handed,Car,None,Same length,Ring finger,December,Winter,No,No,No favorite,Water,Mathematics and statistics,Yes - broadband connection,Text messaging,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,"Wildlife, animals"
12,Male,17,Right-Handed,Car,Football (American),Same length,Index finger,May,Fall,No,No,Poultry,Water,History,Yes - broadband connection,Text messaging,Some,Some college,Rap/Hip hop,Telepathy,Rich,Other,"Wildlife, animals"
10,Male,14,Right-Handed,Car,Tennis,Same length,Same length,June,Winter,Yes,No,Pizza/Pasta,Water,Computers and technology,Yes - broadband connection,Text messaging,Some,Graduate degree,Jazz,Freeze time,Rich,Musician or singer,"Wildlife, animals"
12,Male,17,Right-Handed,Car,Other,Right foot,Ring finger,August,Summer,Yes,No,Pizza/Pasta,Water,English,Yes - other,Internet chat or instant messaging,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Coach or club leader,"Wildlife, animals"
11,Female,16,Right-Handed,Car,Tennis,Same length,Index finger,June,Spring,Yes,No,Pizza/Pasta,Water,Physical education,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,Graduate degree,Pop,Freeze time,Famous,Friend,International aid
