SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,OFFICER_IN_UNIFORM_FLAG,CONSENT_GIVEN_FLG,WEAPON_FOUND_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME,STOP_WAS_INITIATED,MONTH2
PETIT LARCENY,Y,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Radio Run,January
ASSAULT,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
OTHER,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
OTHER,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
ROBBERY,N,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
MURDER,N,Y,N,N,MALE,BLACK,QUEENS,Based on C/W on Scene,February
ASSAULT,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Self Initiated,January
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
GRAND LARCENY,N,Y,N,N,MALE,WHITE,QUEENS,Based on Radio Run,February
CPW,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,January
CPW,Y,Y,N,Y,MALE,BLACK,QUEENS,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,Y,MALE,BLACK,MANHATTAN,Based on Radio Run,February
CRIMINAL SALE OF MARIHUANA,N,Y,Y,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,February
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
MENACING,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
MENACING,Y,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,(null),N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,February
CRIMINAL MISCHIEF,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,(null),BROOKLYN,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,February
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
ASSAULT,Y,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on C/W on Scene,January
BURGLARY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
BURGLARY,Y,Y,N,Y,MALE,BLACK HISPANIC,BROOKLYN,Based on Radio Run,February
CPW,N,Y,Y,N,MALE,(null),BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
BURGLARY,N,Y,(null),N,MALE,WHITE,QUEENS,Based on Self Initiated,February
GRAND LARCENY AUTO,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,February
GRAND LARCENY AUTO,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,February
BURGLARY,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,February
CPW,Y,Y,(null),Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,Y,Y,MALE,BLACK,BRONX,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,February
ASSAULT,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
ROBBERY,Y,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,February
ROBBERY,Y,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,February
ROBBERY,Y,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,February
ROBBERY,Y,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,BRONX,Based on C/W on Scene,February
ROBBERY,Y,Y,N,Y,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,January
PETIT LARCENY,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
MENACING,Y,Y,Y,Y,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,QUEENS,Based on Radio Run,February
PETIT LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,STATEN ISLAND,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on C/W on Scene,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
ROBBERY,N,Y,Y,Y,MALE,BLACK,BRONX,Based on Radio Run,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,February
BURGLARY,N,Y,N,N,MALE,WHITE,QUEENS,Based on Radio Run,January
CPW,Y,Y,N,Y,MALE,BLACK,QUEENS,Based on Radio Run,February
BURGLARY,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
BURGLARY,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,February
BURGLARY,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,February
BURGLARY,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,February
GRAND LARCENY,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,January
CRIMINAL MISCHIEF,Y,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on C/W on Scene,February
ASSAULT,Y,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,February
OTHER,N,Y,N,Y,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,February
CPW,N,Y,Y,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,January
CPW,Y,Y,Y,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
BURGLARY,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Radio Run,February
CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
PETIT LARCENY,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on Radio Run,January
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,February
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,WHITE,BROOKLYN,Based on Self Initiated,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,February
ASSAULT,N,Y,N,N,MALE,BLACK,QUEENS,Based on C/W on Scene,February
CPW,N,Y,N,Y,MALE,BLACK,QUEENS,Based on C/W on Scene,February
CRIMINAL TRESPASS,N,Y,Y,N,MALE,BLACK,QUEENS,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,February
ROBBERY,Y,Y,Y,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on C/W on Scene,January
CPW,N,Y,(null),N,MALE,WHITE HISPANIC,QUEENS,Based on Self Initiated,February
CPW,Y,Y,N,Y,MALE,BLACK,STATEN ISLAND,Based on Self Initiated,February
OTHER,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
OTHER,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
CPW,N,Y,N,Y,MALE,BLACK,MANHATTAN,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,February
ROBBERY,Y,Y,N,N,MALE,(null),BROOKLYN,Based on C/W on Scene,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
ROBBERY,N,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
ROBBERY,N,Y,(null),N,(null),(null),BROOKLYN,Based on Radio Run,January
ROBBERY,N,Y,(null),N,(null),(null),BROOKLYN,Based on Radio Run,January
CPW,Y,Y,N,Y,FEMALE,BLACK,BROOKLYN,Based on Self Initiated,February
CRIMINAL MISCHIEF,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,February
PETIT LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
PETIT LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
ROBBERY,Y,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,February
MENACING,Y,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,February
PETIT LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on Self Initiated,January
CRIMINAL TRESPASS,N,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
MENACING,Y,Y,N,Y,MALE,BLACK,QUEENS,Based on Radio Run,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
MENACING,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,February
GRAND LARCENY,Y,N,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
ASSAULT,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,January
ASSAULT,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,January
ASSAULT,N,Y,Y,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,February
ASSAULT,N,Y,Y,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,January
ASSAULT,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,January
MENACING,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,February
MENACING,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,February
GRAND LARCENY,N,Y,N,N,MALE,WHITE,MANHATTAN,Based on C/W on Scene,January
ROBBERY,Y,Y,N,Y,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,February
CPW,N,Y,N,Y,MALE,BLACK,MANHATTAN,Based on Self Initiated,January
CRIMINAL MISCHIEF,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on C/W on Scene,January
CRIMINAL TRESPASS,N,Y,Y,N,FEMALE,BLACK,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,Y,Y,(null),Y,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
ROBBERY,Y,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
CPSP,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on Self Initiated,January
ROBBERY,N,Y,(null),N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,BROOKLYN,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,N,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
BURGLARY,Y,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,February
MAKING GRAFFITI,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
GRAND LARCENY AUTO,Y,Y,Y,Y,MALE,BLACK HISPANIC,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,(null),(null),BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
BURGLARY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,February
OTHER,Y,Y,(null),Y,MALE,BLACK,QUEENS,Based on Radio Run,February
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Self Initiated,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on Radio Run,February
CRIMINAL MISCHIEF,Y,Y,N,Y,FEMALE,BLACK,STATEN ISLAND,Based on Radio Run,February
GRAND LARCENY AUTO,N,Y,N,N,MALE,WHITE HISPANIC,STATEN ISLAND,Based on Radio Run,February
ROBBERY,N,Y,N,Y,MALE,BLACK,MANHATTAN,Based on Radio Run,February
MENACING,Y,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Radio Run,February
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,(null),BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,February
ROBBERY,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
ROBBERY,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
ROBBERY,N,Y,Y,N,MALE,BLACK,BRONX,Based on Radio Run,February
ROBBERY,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,February
ROBBERY,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
MENACING,Y,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on C/W on Scene,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,FEMALE,BLACK HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on C/W on Scene,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
OTHER,N,Y,Y,N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
ASSAULT,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,February
PETIT LARCENY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,February
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,Y,Y,(null),Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CRIMINAL POSSESSION OF FORGED INSTRUMENT,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
PETIT LARCENY,N,Y,N,N,MALE,BLACK HISPANIC,QUEENS,Based on Radio Run,February
OTHER,N,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,February
ROBBERY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,January
ROBBERY,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,February
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
ROBBERY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,February
ASSAULT,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,February
CPW,N,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Self Initiated,February
PETIT LARCENY,Y,Y,(null),N,MALE,BLACK HISPANIC,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Self Initiated,February
CPW,N,Y,(null),N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
ROBBERY,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
GRAND LARCENY,N,N,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,February
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
CRIMINAL TRESPASS,N,Y,N,N,FEMALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,February
CRIMINAL TRESPASS,N,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Self Initiated,February
CRIMINAL TRESPASS,N,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Self Initiated,February
CRIMINAL TRESPASS,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
CRIMINAL TRESPASS,N,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,February
PETIT LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
GRAND LARCENY,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,February
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,February
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Radio Run,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,February
PETIT LARCENY,N,Y,N,N,FEMALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
MENACING,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on C/W on Scene,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,Y,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
PETIT LARCENY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
PETIT LARCENY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,February
GRAND LARCENY,Y,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,February
CPW,N,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Self Initiated,January
CRIMINAL MISCHIEF,N,Y,N,N,MALE,WHITE,QUEENS,Based on Radio Run,February
GRAND LARCENY AUTO,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,February
CRIMINAL TRESPASS,N,Y,Y,N,MALE,BLACK,STATEN ISLAND,Based on Radio Run,February
GRAND LARCENY AUTO,N,Y,N,N,MALE,AMERICAN INDIAN/ALASKAN NATIVE,STATEN ISLAND,Based on Self Initiated,February
